"";"x"
"MCL1";22
"VIM";22
"CD55";22
"TAGAP";22
"B4GALT1";22
"ZC3H12A";22
"HSPA5";22
"PPP1CB";22
"CDC42SE1";22
"ZSWIM4";22
"MPZL3";22
"SDCBP";22
"SCML4";22
"RNF139";22
"TRA2A";22
"PDE4D";22
"TSPYL1";22
"GABPB1";22
"XBP1";22
"PER1";22
"FKBP11";22
"ETF1";22
"DNAJC3";22
"DNAJB9";22
"TPD52";22
"BTG1";22
"SRSF6";22
"IGLL5";23
"PHGR1";23
"AQP8";23
"FABP1";23
"IFI27";23
"PIGR";23
"CEACAM5";23
"GUCA2A";23
"KRT19";23
"SLC26A3";23
"ZG16";23
"C19orf33";23
"CXCL14";23
"GUCA2B";23
"CKB";23
"TFF3";23
"CLCA4";23
"KRT8";23
"LGALS4";23
"APOE";23
"CFD";23
"MT1G";23
"FXYD3";23
"SEPP1";23
